codigoPrestador;representanteLegal;email;nomePrestador;razaoSocial;telefone;celular
1122;Carlos Moreira;inovacao01@inmestra.com.br;Clínica ProVida;ProVida Serviços Médicos LTDA;(18) 3875-6754;(79) 94261-3257
1130;Gabriela Rocha;suporte01@inmestra.com.br;Clínica Nova Esperança;Horizonte Clínicas Integradas;(12) 3842-9223;(62) 96025-9568
1133;Gabriela Rocha;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Instituto MedCare LTDA;(25) 4592-2781;(72) 94938-8924
1134;Juliana Castro;esocial01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(50) 5220-2846;(53) 98669-4609
1135;Fernanda Souza;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Diagnóstico Avançado S/A;(60) 5716-1514;(32) 92731-6779
1136;Lucas Ferreira;esocial01@inmestra.com.br;Clínica ProVida;Instituto MedCare LTDA;(54) 7911-6661;(46) 97236-2625
1139;Rafael Dias;inovacao01@inmestra.com.br;Clínica Horizonte;Nova Esperança Serviços Médicos LTDA;(23) 8947-1550;(47) 91514-2331
1140;Patrícia Andrade;esocial01@inmestra.com.br;Saúde Corporativa Plus;Saúde Integral S/A;(67) 7289-3376;(98) 99950-8236
1141;Carlos Moreira;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(18) 7790-4912;(53) 95074-2638
1145;Lucas Ferreira;inovacao01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(87) 3161-3809;(51) 94694-2858
1146;Rafael Dias;esocial01@inmestra.com.br;Clínica Horizonte;Diagnóstico Avançado S/A;(73) 8461-3707;(15) 98445-6566
1148;Fernanda Souza;suporte01@inmestra.com.br;Clínica Nova Esperança;Instituto MedCare LTDA;(92) 8431-5156;(41) 98298-7442
1154;Gabriela Rocha;inovacao01@inmestra.com.br;Instituto Saúde e Trabalho;Vida Saudável LTDA;(72) 8403-5278;(37) 93893-9256
1173;Gabriela Rocha;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Bem-Estar Diagnósticos LTDA;(72) 5956-9399;(73) 99837-6248
1174;Carlos Moreira;esocial01@inmestra.com.br;Clínica ProVida;Vida Saudável LTDA;(31) 8285-1369;(20) 96356-3084
1176;Gabriela Rocha;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde e Trabalho LTDA;(67) 8588-9751;(14) 99617-2423
1181;Vanessa Martins;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Diagnóstico Avançado S/A;(13) 6428-4962;(45) 92918-4907
1183;Lucas Ferreira;esocial01@inmestra.com.br;Clínica Horizonte;Nova Esperança Serviços Médicos LTDA;(36) 9274-5697;(69) 94095-3275
1187;Juliana Castro;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(68) 3529-3183;(94) 97032-4796
1189;João Lima;esocial01@inmestra.com.br;Clínica ProVida;Instituto MedCare LTDA;(82) 2817-7230;(28) 96817-6285
1192;Patrícia Andrade;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Saúde e Trabalho LTDA;(17) 7498-8914;(44) 99222-8753
1197;Fernanda Souza;inovacao01@inmestra.com.br;Instituto MedCare;ProVida Serviços Médicos LTDA;(23) 9570-2450;(25) 98512-1946
1199;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Horizonte;Horizonte Clínicas Integradas;(22) 2819-5720;(42) 96514-9286
1202;Thiago Almeida;esocial01@inmestra.com.br;Instituto MedCare;Saúde e Trabalho LTDA;(13) 6313-6812;(84) 94744-2855
1207;Fernanda Souza;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(38) 5724-5409;(94) 92262-1404
1212;Vanessa Martins;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Instituto MedCare LTDA;(89) 6905-7099;(42) 98463-1136
1216;Fernanda Souza;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Instituto MedCare LTDA;(52) 9620-9885;(88) 98100-9945
1219;Fernanda Souza;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;ProVida Serviços Médicos LTDA;(75) 8196-9060;(89) 99055-8942
1222;Fernanda Souza;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Saúde e Trabalho LTDA;(13) 5483-8535;(58) 95196-2080
1223;Fernanda Souza;inovacao01@inmestra.com.br;Instituto MedCare;Saúde e Trabalho LTDA;(79) 7358-9891;(94) 99341-4732
1224;Lucas Ferreira;suporte01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(68) 6799-4967;(73) 96344-6216
1225;Lucas Ferreira;suporte01@inmestra.com.br;Clínica Horizonte;Nova Esperança Serviços Médicos LTDA;(86) 4627-6036;(33) 96886-6086
1231;Juliana Castro;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Saúde e Trabalho LTDA;(90) 2807-6180;(46) 93488-3929
1232;Patrícia Andrade;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Horizonte Clínicas Integradas;(78) 9423-3609;(12) 95506-4958
1234;Vanessa Martins;suporte01@inmestra.com.br;Clínica Vida Saudável;Saúde Integral S/A;(71) 7062-9781;(85) 97856-2557
1238;Gabriela Rocha;esocial01@inmestra.com.br;Clínica Horizonte;Instituto MedCare LTDA;(62) 4672-9270;(44) 95853-2349
1241;Gabriela Rocha;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Vida Saudável LTDA;(89) 4516-2689;(48) 92000-9686
1246;Vanessa Martins;suporte01@inmestra.com.br;Clínica ProVida;Vida Saudável LTDA;(54) 6554-5901;(32) 99720-6125
1255;João Lima;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(75) 9514-7344;(41) 93325-2172
1258;João Lima;suporte01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(26) 6921-2009;(53) 98090-4968
1267;Vanessa Martins;inovacao01@inmestra.com.br;Saúde Corporativa Plus;ProVida Serviços Médicos LTDA;(54) 3030-2504;(74) 94856-5637
1268;Vanessa Martins;suporte01@inmestra.com.br;Clínica ProVida;Diagnóstico Avançado S/A;(60) 3934-9606;(18) 97140-3276
1273;Lucas Ferreira;inovacao01@inmestra.com.br;Clínica Horizonte;Horizonte Clínicas Integradas;(80) 9383-5027;(55) 97035-4385
1278;João Lima;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(23) 6078-5976;(91) 95617-2140
1279;Thiago Almeida;inovacao01@inmestra.com.br;Instituto MedCare;Corporativa Plus Saúde LTDA;(72) 6887-1270;(18) 96892-5089
1295;Thiago Almeida;suporte01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(50) 5261-6107;(72) 99891-3820
1298;Gabriela Rocha;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Diagnóstico Avançado S/A;(98) 6519-4734;(77) 95683-5852
1307;Gabriela Rocha;suporte01@inmestra.com.br;Saúde Corporativa Plus;Corporativa Plus Saúde LTDA;(19) 2453-4288;(61) 93154-7347
1319;Gabriela Rocha;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;ProVida Serviços Médicos LTDA;(80) 6749-6683;(17) 91775-5864
1324;Gabriela Rocha;suporte01@inmestra.com.br;Clínica Vida Saudável;ProVida Serviços Médicos LTDA;(86) 9165-8301;(62) 93057-9692
1328;Juliana Castro;esocial01@inmestra.com.br;Clínica Vida Saudável;Nova Esperança Serviços Médicos LTDA;(47) 3025-5776;(35) 96396-2856
1329;Fernanda Souza;suporte01@inmestra.com.br;Clínica ProVida;Saúde e Trabalho LTDA;(61) 9514-6692;(47) 91402-4792
1330;Juliana Castro;esocial01@inmestra.com.br;Clínica ProVida;ProVida Serviços Médicos LTDA;(21) 5193-2276;(28) 98545-6873
1333;Vanessa Martins;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Corporativa Plus Saúde LTDA;(71) 8865-4665;(57) 93403-6344
1334;Fernanda Souza;suporte01@inmestra.com.br;Clínica Horizonte;Bem-Estar Diagnósticos LTDA;(88) 8064-1653;(30) 91652-4781
1339;Fernanda Souza;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Horizonte Clínicas Integradas;(70) 4169-7407;(52) 98635-2217
1341;Vanessa Martins;suporte01@inmestra.com.br;Centro de Diagnóstico Avançado;Nova Esperança Serviços Médicos LTDA;(40) 6349-4584;(35) 91026-9139
1344;Vanessa Martins;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Corporativa Plus Saúde LTDA;(58) 8048-5587;(53) 95598-2034
1345;Fernanda Souza;esocial01@inmestra.com.br;Instituto MedCare;Vida Saudável LTDA;(60) 9571-1549;(27) 98046-2024
1359;Patrícia Andrade;inovacao01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(85) 9174-3333;(40) 93681-7589
1369;Lucas Ferreira;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde e Trabalho LTDA;(20) 6930-6578;(98) 97188-2136
1370;Thiago Almeida;suporte01@inmestra.com.br;Saúde Corporativa Plus;Bem-Estar Diagnósticos LTDA;(97) 6816-3567;(85) 99085-6693
1375;Gabriela Rocha;inovacao01@inmestra.com.br;Centro de Diagnóstico Avançado;Nova Esperança Serviços Médicos LTDA;(53) 4192-5151;(93) 99411-5490
1377;João Lima;esocial01@inmestra.com.br;Saúde Corporativa Plus;Horizonte Clínicas Integradas;(72) 5566-8743;(32) 96750-8248
1378;Patrícia Andrade;suporte01@inmestra.com.br;Clínica Nova Esperança;Vida Saudável LTDA;(66) 4120-3534;(89) 91554-5966
1388;Patrícia Andrade;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Instituto MedCare LTDA;(72) 4334-1223;(29) 91555-2099
1390;Rafael Dias;inovacao01@inmestra.com.br;Clínica Horizonte;Instituto MedCare LTDA;(51) 2807-8484;(97) 93480-8111
1398;Rafael Dias;inovacao01@inmestra.com.br;Clínica Horizonte;Instituto MedCare LTDA;(63) 9287-1013;(14) 91741-4969
1404;Vanessa Martins;esocial01@inmestra.com.br;Clínica Horizonte;Vida Saudável LTDA;(12) 4125-4478;(23) 97025-2685
1407;Vanessa Martins;suporte01@inmestra.com.br;Clínica ProVida;Horizonte Clínicas Integradas;(37) 3333-2421;(59) 97874-6721
1417;João Lima;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Nova Esperança Serviços Médicos LTDA;(23) 3766-2582;(37) 96000-9612
1429;Juliana Castro;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(11) 3966-1106;(83) 96362-1707
1435;Lucas Ferreira;suporte01@inmestra.com.br;Clínica Vida Saudável;Bem-Estar Diagnósticos LTDA;(32) 4737-2652;(99) 93795-9067
1451;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Vida Saudável;Nova Esperança Serviços Médicos LTDA;(65) 2893-8205;(39) 92376-6800
1453;Thiago Almeida;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(97) 2749-3883;(77) 99157-7104
1465;Gabriela Rocha;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Nova Esperança Serviços Médicos LTDA;(15) 6353-9544;(18) 94836-6526
1466;Fernanda Souza;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde e Trabalho LTDA;(45) 4914-4359;(70) 94567-6191
1475;Rafael Dias;esocial01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(78) 6852-6367;(53) 94053-5035
1479;João Lima;suporte01@inmestra.com.br;Saúde Corporativa Plus;Nova Esperança Serviços Médicos LTDA;(75) 2524-7412;(69) 98472-1732
1508;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Vida Saudável;Instituto MedCare LTDA;(51) 2626-3016;(65) 98009-8014
1524;Rafael Dias;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Diagnóstico Avançado S/A;(58) 6492-7908;(26) 96121-2209
1542;Fernanda Souza;suporte01@inmestra.com.br;Instituto MedCare;Horizonte Clínicas Integradas;(64) 8562-1195;(48) 99862-9445
1543;Fernanda Souza;suporte01@inmestra.com.br;Instituto MedCare;Saúde e Trabalho LTDA;(30) 7901-8105;(22) 96039-3604
1544;Patrícia Andrade;suporte01@inmestra.com.br;Instituto MedCare;Bem-Estar Diagnósticos LTDA;(90) 7565-4776;(80) 97369-6902
1546;Thiago Almeida;suporte01@inmestra.com.br;Clínica Horizonte;Saúde Integral S/A;(71) 2212-8042;(91) 99582-7765
1547;Carlos Moreira;inovacao01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(56) 9069-6462;(13) 91544-8500
1548;Juliana Castro;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Diagnóstico Avançado S/A;(96) 6368-4995;(19) 91198-4368
1552;Juliana Castro;suporte01@inmestra.com.br;Clínica ProVida;Nova Esperança Serviços Médicos LTDA;(97) 8769-2084;(92) 91426-9645
1561;Patrícia Andrade;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Horizonte Clínicas Integradas;(43) 5036-9958;(94) 97527-8713
1579;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Horizonte;Diagnóstico Avançado S/A;(92) 7927-2822;(19) 93129-4482
1582;Gabriela Rocha;esocial01@inmestra.com.br;Clínica Vida Saudável;ProVida Serviços Médicos LTDA;(56) 9572-1909;(14) 93229-9949
1585;Carlos Moreira;inovacao01@inmestra.com.br;Centro de Diagnóstico Avançado;Corporativa Plus Saúde LTDA;(30) 7984-3809;(96) 91305-3566
1590;Carlos Moreira;suporte01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(69) 5259-2551;(34) 96549-1348
1591;Carlos Moreira;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Diagnóstico Avançado S/A;(87) 9286-8302;(86) 94586-2292
1602;Carlos Moreira;suporte01@inmestra.com.br;Saúde Corporativa Plus;Instituto MedCare LTDA;(56) 3448-3606;(49) 96804-3619
1606;Juliana Castro;esocial01@inmestra.com.br;Instituto MedCare;Corporativa Plus Saúde LTDA;(99) 3669-6928;(92) 91699-1649
1608;Thiago Almeida;esocial01@inmestra.com.br;Saúde Corporativa Plus;Nova Esperança Serviços Médicos LTDA;(80) 2652-5868;(15) 93946-2792
1610;Gabriela Rocha;esocial01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(19) 4584-9778;(58) 94781-3233
1616;Lucas Ferreira;suporte01@inmestra.com.br;Saúde Corporativa Plus;Diagnóstico Avançado S/A;(34) 8559-1937;(97) 95640-6327
1617;Carlos Moreira;inovacao01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(65) 3976-6535;(70) 99134-8617
1619;Fernanda Souza;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Vida Saudável LTDA;(83) 6894-7635;(48) 92148-6632
1627;João Lima;inovacao01@inmestra.com.br;Clínica Horizonte;Diagnóstico Avançado S/A;(16) 9428-1972;(18) 98922-9335
1628;Rafael Dias;esocial01@inmestra.com.br;Clínica Vida Saudável;Saúde e Trabalho LTDA;(13) 2638-3363;(29) 97988-7332
1630;Vanessa Martins;esocial01@inmestra.com.br;Clínica Horizonte;Saúde e Trabalho LTDA;(24) 2978-2836;(94) 93607-3187
1635;Fernanda Souza;inovacao01@inmestra.com.br;Clínica Horizonte;Saúde Integral S/A;(43) 2476-4262;(81) 95529-5334
1649;Rafael Dias;inovacao01@inmestra.com.br;Clínica Vida Saudável;Instituto MedCare LTDA;(87) 8503-6248;(66) 95282-9490
1652;Lucas Ferreira;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Diagnóstico Avançado S/A;(78) 3022-3501;(52) 99011-9978
1653;Juliana Castro;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Diagnóstico Avançado S/A;(34) 8644-2496;(32) 95152-9926
1661;Juliana Castro;inovacao01@inmestra.com.br;Clínica Vida Saudável;Saúde Integral S/A;(98) 6130-5064;(42) 95143-4995
1680;Fernanda Souza;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Instituto MedCare LTDA;(47) 6881-7072;(56) 92912-9042
1685;Patrícia Andrade;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Saúde Integral S/A;(75) 9451-4843;(61) 97026-5128
1689;Carlos Moreira;suporte01@inmestra.com.br;Clínica Vida Saudável;Saúde Integral S/A;(79) 2063-4104;(45) 91196-6727
1707;Carlos Moreira;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Saúde e Trabalho LTDA;(74) 3532-8307;(82) 92343-3122
1711;Vanessa Martins;esocial01@inmestra.com.br;Centro de Diagnóstico Avançado;Vida Saudável LTDA;(63) 3249-3582;(42) 92253-9297
1722;Patrícia Andrade;suporte01@inmestra.com.br;Saúde Corporativa Plus;Saúde e Trabalho LTDA;(64) 6838-7746;(54) 91743-8925
1745;Vanessa Martins;suporte01@inmestra.com.br;Clínica ProVida;Instituto MedCare LTDA;(81) 4615-9470;(73) 98393-7792
1772;Vanessa Martins;suporte01@inmestra.com.br;Centro de Diagnóstico Avançado;Horizonte Clínicas Integradas;(33) 3324-7123;(94) 92796-6635
1777;Fernanda Souza;suporte01@inmestra.com.br;Clínica ProVida;Diagnóstico Avançado S/A;(38) 7472-9186;(91) 96858-3818
1781;Juliana Castro;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(58) 2599-7897;(63) 94617-3645
1784;João Lima;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Saúde Integral S/A;(53) 5331-2051;(87) 91922-1860
1787;Thiago Almeida;inovacao01@inmestra.com.br;Clínica Nova Esperança;Instituto MedCare LTDA;(31) 7667-9016;(68) 95248-2360
1795;Lucas Ferreira;inovacao01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(90) 5301-9970;(72) 96847-2387
1799;Lucas Ferreira;esocial01@inmestra.com.br;Clínica ProVida;Nova Esperança Serviços Médicos LTDA;(55) 3655-2498;(96) 95521-7445
1805;Lucas Ferreira;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Corporativa Plus Saúde LTDA;(96) 6073-6992;(94) 95545-8294
1807;Patrícia Andrade;inovacao01@inmestra.com.br;Clínica Nova Esperança;Nova Esperança Serviços Médicos LTDA;(24) 8400-5234;(48) 91634-1704
1810;Fernanda Souza;esocial01@inmestra.com.br;Instituto MedCare;Bem-Estar Diagnósticos LTDA;(50) 8471-5375;(30) 95786-4893
1852;João Lima;suporte01@inmestra.com.br;Saúde Corporativa Plus;Saúde Integral S/A;(19) 4172-5580;(89) 97772-7364
1856;João Lima;suporte01@inmestra.com.br;Clínica Horizonte;Nova Esperança Serviços Médicos LTDA;(90) 9622-6794;(12) 91386-8153
1861;Vanessa Martins;suporte01@inmestra.com.br;Clínica Horizonte;Vida Saudável LTDA;(63) 8642-2072;(33) 99122-3091
1864;Rafael Dias;esocial01@inmestra.com.br;Clínica Horizonte;Instituto MedCare LTDA;(37) 5609-8856;(90) 93078-4477
1865;Fernanda Souza;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;Diagnóstico Avançado S/A;(16) 8661-2178;(91) 97964-2321
1891;Vanessa Martins;esocial01@inmestra.com.br;Clínica ProVida;Saúde e Trabalho LTDA;(28) 3734-6623;(20) 93987-3642
1892;Juliana Castro;inovacao01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(27) 6645-7849;(96) 97310-8527
1893;Gabriela Rocha;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Corporativa Plus Saúde LTDA;(97) 4174-7246;(85) 93548-6739
1900;Gabriela Rocha;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Diagnóstico Avançado S/A;(19) 4522-9205;(61) 91951-9934
1905;Fernanda Souza;esocial01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(92) 2953-4356;(13) 98587-5997
1907;Rafael Dias;suporte01@inmestra.com.br;Instituto MedCare;Saúde e Trabalho LTDA;(37) 3111-1223;(63) 97037-8903
1924;Juliana Castro;suporte01@inmestra.com.br;Clínica Vida Saudável;Diagnóstico Avançado S/A;(25) 6723-3906;(26) 92766-7362
1926;Patrícia Andrade;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Bem-Estar Diagnósticos LTDA;(55) 5673-3089;(53) 93121-4464
1930;João Lima;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Saúde Integral S/A;(85) 2494-8097;(92) 95223-8732
1934;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Vida Saudável;Horizonte Clínicas Integradas;(21) 2975-4864;(52) 95196-3363
1936;Patrícia Andrade;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Vida Saudável LTDA;(83) 5803-7162;(84) 92773-7590
1940;Patrícia Andrade;suporte01@inmestra.com.br;Clínica ProVida;Bem-Estar Diagnósticos LTDA;(84) 2678-6665;(40) 99954-2057
1944;Lucas Ferreira;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Bem-Estar Diagnósticos LTDA;(27) 7158-8099;(93) 92802-5692
1947;Vanessa Martins;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Saúde Integral S/A;(14) 9091-7166;(39) 99152-7880
1950;Thiago Almeida;esocial01@inmestra.com.br;Clínica ProVida;Nova Esperança Serviços Médicos LTDA;(75) 8975-3298;(96) 91769-5357
1965;Vanessa Martins;suporte01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(86) 2127-6479;(45) 94484-2766
1967;João Lima;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Saúde Integral S/A;(77) 7989-4487;(32) 95431-4503
1977;Lucas Ferreira;esocial01@inmestra.com.br;Clínica Horizonte;Nova Esperança Serviços Médicos LTDA;(57) 9611-6273;(97) 94709-2110
1983;Fernanda Souza;inovacao01@inmestra.com.br;Clínica Nova Esperança;Bem-Estar Diagnósticos LTDA;(75) 9338-8971;(20) 96911-3787
1984;Thiago Almeida;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Horizonte Clínicas Integradas;(72) 5643-1395;(11) 93328-1444
1992;Carlos Moreira;inovacao01@inmestra.com.br;Instituto MedCare;Nova Esperança Serviços Médicos LTDA;(16) 8065-4121;(81) 97248-5444
2004;João Lima;suporte01@inmestra.com.br;Instituto Saúde e Trabalho;Bem-Estar Diagnósticos LTDA;(16) 7989-4808;(79) 93697-7944
2027;Lucas Ferreira;inovacao01@inmestra.com.br;Saúde Corporativa Plus;Bem-Estar Diagnósticos LTDA;(89) 8762-8165;(42) 98873-8746
2036;João Lima;esocial01@inmestra.com.br;Clínica Nova Esperança;Nova Esperança Serviços Médicos LTDA;(39) 2995-8132;(37) 95263-8108
2039;Thiago Almeida;esocial01@inmestra.com.br;Instituto Saúde e Trabalho;ProVida Serviços Médicos LTDA;(92) 4832-3660;(70) 93126-2748
2040;João Lima;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Bem-Estar Diagnósticos LTDA;(50) 8619-3406;(30) 94831-9646
2041;Patrícia Andrade;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde Integral S/A;(12) 9155-9582;(27) 92132-6890
2063;Fernanda Souza;esocial01@inmestra.com.br;Clínica Nova Esperança;Vida Saudável LTDA;(12) 9283-7290;(62) 97396-6392
2065;Carlos Moreira;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(92) 9031-6125;(60) 98032-3738
2072;Carlos Moreira;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Horizonte Clínicas Integradas;(69) 2583-9484;(21) 95060-4174
2096;Gabriela Rocha;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Saúde e Trabalho LTDA;(93) 4374-4296;(31) 91683-6636
2104;Gabriela Rocha;esocial01@inmestra.com.br;Clínica ProVida;Vida Saudável LTDA;(21) 9580-5536;(46) 94446-9139
2127;Vanessa Martins;esocial01@inmestra.com.br;Saúde Integral Ocupacional;Saúde Integral S/A;(81) 7521-3347;(47) 98338-8864
2146;Rafael Dias;inovacao01@inmestra.com.br;Centro de Diagnóstico Avançado;Bem-Estar Diagnósticos LTDA;(76) 4326-1178;(69) 93959-9745
2153;Gabriela Rocha;inovacao01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(16) 4831-8655;(90) 93880-2860
2166;Thiago Almeida;suporte01@inmestra.com.br;Clínica Horizonte;Instituto MedCare LTDA;(64) 3455-9469;(33) 95067-6308
2170;Gabriela Rocha;esocial01@inmestra.com.br;Instituto MedCare;Horizonte Clínicas Integradas;(45) 5784-5165;(90) 93891-4137
2179;Gabriela Rocha;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Nova Esperança Serviços Médicos LTDA;(71) 8859-4551;(25) 93981-8690
2180;Rafael Dias;inovacao01@inmestra.com.br;Centro de Diagnóstico Avançado;Vida Saudável LTDA;(68) 7159-7270;(76) 93818-1980
2181;Fernanda Souza;esocial01@inmestra.com.br;Centro Médico Bem-Estar;Saúde e Trabalho LTDA;(95) 2453-6272;(45) 97479-7771
2187;João Lima;inovacao01@inmestra.com.br;Clínica Nova Esperança;Diagnóstico Avançado S/A;(98) 9939-6487;(26) 95269-4217
2189;Rafael Dias;inovacao01@inmestra.com.br;Clínica Horizonte;Vida Saudável LTDA;(86) 4091-5271;(86) 97744-6765
2199;Rafael Dias;esocial01@inmestra.com.br;Saúde Integral Ocupacional;ProVida Serviços Médicos LTDA;(99) 9914-1281;(79) 93891-5395
2209;Rafael Dias;suporte01@inmestra.com.br;Saúde Integral Ocupacional;Saúde Integral S/A;(91) 2672-6593;(11) 96571-8214
2231;João Lima;suporte01@inmestra.com.br;Clínica Vida Saudável;Vida Saudável LTDA;(49) 5796-6133;(48) 95273-9089
2234;João Lima;suporte01@inmestra.com.br;Clínica Nova Esperança;Instituto MedCare LTDA;(24) 4419-1051;(74) 94141-4026
2243;Juliana Castro;suporte01@inmestra.com.br;Centro Médico Bem-Estar;Horizonte Clínicas Integradas;(74) 9463-3166;(96) 99462-7099
2264;Thiago Almeida;esocial01@inmestra.com.br;Clínica Horizonte;Vida Saudável LTDA;(23) 9306-6814;(88) 94498-8692
2290;Fernanda Souza;suporte01@inmestra.com.br;Clínica Horizonte;ProVida Serviços Médicos LTDA;(87) 7609-4549;(45) 98196-1295
2292;Vanessa Martins;esocial01@inmestra.com.br;Saúde Corporativa Plus;Saúde e Trabalho LTDA;(74) 4550-2707;(58) 97699-8996
2295;Patrícia Andrade;inovacao01@inmestra.com.br;Clínica Nova Esperança;Corporativa Plus Saúde LTDA;(76) 7236-5899;(53) 93436-6825
2323;Rafael Dias;inovacao01@inmestra.com.br;Saúde Integral Ocupacional;Saúde e Trabalho LTDA;(70) 8937-1863;(22) 92034-5144
2329;Juliana Castro;esocial01@inmestra.com.br;Centro Médico Bem-Estar;ProVida Serviços Médicos LTDA;(26) 4071-1020;(57) 99778-8216
2336;Patrícia Andrade;inovacao01@inmestra.com.br;Centro Médico Bem-Estar;Instituto MedCare LTDA;(54) 8013-1593;(76) 96766-4484
2337;Rafael Dias;suporte01@inmestra.com.br;Clínica Horizonte;Horizonte Clínicas Integradas;(50) 3397-7739;(73) 92180-2958
2345;Gabriela Rocha;esocial01@inmestra.com.br;Clínica Nova Esperança;Saúde e Trabalho LTDA;(93) 8650-1087;(41) 95187-5777
2346;Rafael Dias;inovacao01@inmestra.com.br;Instituto MedCare;Vida Saudável LTDA;(80) 5595-4281;(52) 91037-8219
2347;Lucas Ferreira;suporte01@inmestra.com.br;Centro de Diagnóstico Avançado;Diagnóstico Avançado S/A;(72) 5929-2502;(29) 96932-6602
2348;Vanessa Martins;suporte01@inmestra.com.br;Clínica ProVida;Saúde Integral S/A;(16) 2083-4691;(28) 98885-7693
